DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_PRESSURE_PSI,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF/STB,WCUT,AVG_CHOKE_SIZE_P_WAS_MISSING,AVG_DOWNHOLE_PRESSURE_PSI_WAS_MISSING,AVG_DOWNHOLE_TEMPERATURE_F_WAS_MISSING,AVG_DP_TUBING_PSI_WAS_MISSING,AVG_ANNULUS_PRESS_PSI_WAS_MISSING,DP_CHOKE_SIZE_PSI_WAS_MISSING,AVG_WHP_P_PSI_WAS_MISSING,AVG_WHT_P_WAS_MISSING,GOR_MSCF/STB_WAS_MISSING,WCUT_WAS_MISSING
2015-06-10,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.646401458333333,%,production,OP,3194.6294658683746,222.546102125,2494.938451610375,273.442060131875,285.2364566215,699.691014258,169.705685,10271.3855262,8373.348800167,4503.1265714,0.8152112272301011,0.3047902050269055,0,0,0,0,0,0,0,0,0,0
2015-06-11,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.62980770833333,%,production,OP,3193.116625858,222.539025125,2495.19894288,272.20287661125,283.502602872125,697.917682978,169.42149275000003,10165.3393296,8306.27523731,4891.3965427,0.8171173600790015,0.3248643387375043,0,0,0,0,0,0,0,0,0,0
2015-06-12,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.576210416666665,%,production,OP,3192.68885440675,222.535490375,2496.371115823,270.27226975,281.4674991535,696.31773858375,169.40104925,10166.0312087,8327.856756774001,4497.0883538,0.819184653854603,0.3066938337801608,0,0,0,0,0,0,0,0,0,0
2015-06-13,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.598660625,%,production,OP,3193.259346271625,222.529339625,2498.58274589575,268.521627852125,279.959406116,694.676600375875,170.382627875,10048.8520484,8134.990113635,4466.2682848,0.8095442220119332,0.3076976409616418,0,0,0,0,0,0,0,0,0,0
2015-06-14,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.778043125,%,production,OP,3190.783994812125,222.5277515,2499.12972045325,264.406911878625,276.844917514875,691.654274358875,169.33451525,9937.7111057,8121.060936514001,4728.3017694,0.8171963191660886,0.3223985830141827,0,0,0,0,0,0,0,0,0,0
2015-06-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.758748541666662,%,production,OP,3190.36475340825,222.52573775,2500.971990107625,263.40134831650005,274.7973465715,689.392763300625,169.48156250000002,9961.9268742,8105.733650420001,4606.4681497,0.8136712658886023,0.3161959942837159,0,0,0,0,0,0,0,0,0,0
2015-06-16,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.72289479166667,%,production,OP,3190.220942188,222.522153875,2503.129539136125,263.109661790375,272.536007745875,687.091403051875,169.88060712499998,9849.9053581,8009.849295862001,4666.8503257,0.8131904830207488,0.3214802554614858,0,0,0,0,0,0,0,0,0,0
2015-06-17,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.60947957446809,%,production,OP,3191.932811301064,222.5162560425532,2506.3743676531917,260.36607971527656,271.0540163408936,685.5584436478724,169.1159160851064,9753.2309784,8008.09909933,4668.8001668,0.8210714087531754,0.3237269507876419,0,0,0,0,0,0,0,0,0,0
2015-06-18,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.668763829787235,%,production,OP,3194.004182298766,222.51459582978725,2508.9825212029787,257.833472448,265.7608946477872,685.0216610957872,169.5639594468085,9770.6537521,7980.856633456001,4589.9888475,0.8168191029940735,0.3196228034828921,0,0,0,0,0,0,0,0,0,0
2015-06-19,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.804750625,%,production,OP,3194.133411735375,222.505551875,2511.8022918166253,257.71998625625,260.96766506575,682.33111991875,169.75892749999997,9674.6083534,8061.735418837001,4498.472112,0.8332880385802719,0.3173955106641696,0,0,0,0,0,0,0,0,0,0
2015-06-20,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.706883333333334,%,production,OP,3195.789878646875,222.5086145,2515.574657677625,258.523490733,265.810154528625,680.21522096925,170.554286375,9906.0733614,8229.376418619,4617.5382153,0.8307405082104059,0.3179331938832517,0,0,0,0,0,0,0,0,0,0
2015-06-21,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.817577916666668,%,production,OP,3199.77003259425,222.515046125,2519.2740241002502,255.68000563487504,265.99537107625,680.4960084940001,169.82211012500002,9868.020010900002,8253.513309775,4741.5732685,0.8363900053565303,0.324552037679637,0,0,0,0,0,0,0,0,0,0
2015-06-22,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.753716041666667,%,production,OP,3208.130448963375,222.524125625,2525.6386027676253,254.94712257762495,267.5737773275,682.49184619575,170.639414,10049.7955199,8346.200977688999,4790.8853789,0.8304846562462245,0.322821130079509,0,0,0,0,0,0,0,0,0,0
2015-06-23,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,21.17692361702128,%,production,OP,3204.163017214468,222.5520515319149,2526.129802306468,254.0609538342128,262.79263025948933,678.033214908,170.3353398723404,10105.6490327,8393.329151133,4939.0733025,0.8305581486130924,0.328292752265962,0,0,0,0,0,0,0,0,0,0
2015-06-24,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,21.343651041666668,%,production,OP,3207.443035319125,222.576605375,2530.04493274825,255.20051907175,262.199790070375,677.3981025708749,170.732001875,10207.8584452,8437.789652139001,5026.816152,0.8265974393587587,0.3299588789985632,0,0,0,0,0,0,0,0,0,0
2015-06-25,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,21.81494875,%,production,OP,3202.257388969875,222.608789,2530.47613072225,257.07111041725,256.265732533,671.7812582476249,171.522012125,10374.9786969,8577.968175466001,5234.0653915,0.8267938109626252,0.3353226092422753,0,0,0,0,0,0,0,0,0,0
2015-06-26,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,22.365889166666665,%,production,OP,3201.242573192,222.636826625,2532.50083702925,253.84962003162505,253.298131166375,668.7417361627499,170.981381,10382.2119784,8530.161253488,5329.6076054000005,0.8216130889289145,0.3392100817460508,0,0,0,0,0,0,0,0,0,0
2015-06-27,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,22.21220340425532,%,production,OP,3210.644225399362,222.65959731914896,2539.419600301404,254.99191881114896,253.16038203306385,671.2246250979575,171.56518642553192,10456.4946345,8575.816450795,5372.5041096,0.8201425765093477,0.3394089668244185,0,0,0,0,0,0,0,0,0,0
2015-06-28,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,17.997740425531916,%,production,OP,3330.082864103617,222.5447339574468,2590.840888332766,254.6658332702553,324.98785627863833,739.2419757708511,170.22692663829787,9214.6974462,7564.291848343,4588.7308855,0.8208942173638483,0.332434144274277,0,0,0,0,0,0,0,0,0,0
2015-06-29,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,19.19962595744681,%,production,OP,3302.5780923131488,222.6126674893617,2582.175160994681,256.8296521063404,302.2227442591915,720.4029313184681,171.6442504680851,9722.3480113,7846.124696309999,4653.0756418,0.8070195272984138,0.3236826791394481,0,0,0,0,0,0,0,0,0,0
2015-06-30,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,20.024945416666668,%,production,OP,3279.2698626155,222.666552125,2574.5614219152503,255.407291892125,289.83692600837503,704.70844070025,171.350945,10182.6363071,8151.449942158,4684.2102013,0.800524510187433,0.3150775921883197,0,0,0,0,0,0,0,0,0,0
2015-07-01,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,22.887072291666662,%,production,OP,3217.6611769545,222.74343875,2551.1107413715,253.34479109962496,251.7246048395,666.5504355830001,170.29127524999998,10577.5105789,8785.75351362,5607.5543093,0.8306069228751995,0.3464647406751074,0,0,0,0,0,0,0,0,0,0
2015-07-02,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.941967291666668,%,production,OP,3197.693991900125,222.770587625,2544.07598138725,252.376904179625,233.347166195,653.618010512875,169.760553875,9823.8026466,8142.939452605001,7549.721841099999,0.8288989249415813,0.4345532679016859,0,0,0,0,0,0,0,0,0,0
2015-07-03,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.92522458333333,%,production,OP,3196.3098066390003,222.771583625,2544.66255131875,253.31145653262504,230.35872468075,651.64725532025,172.10729675000002,9779.7739766,8087.151761574001,7546.3253437,0.8269262439933761,0.4355466977416204,0,0,0,0,0,0,0,0,0,0
2015-07-04,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.998626875,%,production,OP,3188.78337992125,222.77782925,2542.631638594,252.166327133375,230.60653721187495,646.15174132725,172.37204975,9644.4172654,7958.219557609,7452.2926842,0.8251633394336485,0.4358904553080024,0,0,0,0,0,0,0,0,0,0
2015-07-05,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.905589375,%,production,OP,3186.7518719363748,222.7714385,2543.308129063875,252.444195768375,228.05805940575,643.4437428725,171.330562625,9560.4483019,7903.522737661,7209.631814400001,0.8266895534689822,0.4299103978276443,0,0,0,0,0,0,0,0,0,0
