HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD: Q0015 SLEIPNER
WELL NAME: 15/9-19
WELLBORE NAME: 15/9-19 BT2
Drilled From: 15/9-19 B
Kick Off Depth: 2911.00m
Survey Name: 15/9-19 BT2
Survey Date: 24.01.2005
Extraction Date: 11.01.2024
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Byford Dolphin RT(25.00m)
----------------------------------------------------------------
Surface EW: 437506.858m
Surface NS: 6477887.468m
Surface Latitude: 58° 26' 9.2419 N
Surface Longitude: 1° 55' 47.0592 E
Bottom Hole MD: 4250.00m
Bottom Hole TVD: 3360.59m
Bottom Hole EW: 436455.845m
Bottom Hole NS: 6477445.355m
----------------------------------------------------------------
Survey Program:  
H  123 - 2183 9 5/8" EASTMAN RIGS : RIGS, CONT
H  2183 - 2232 8 1/2" GYRODATA RGSCT : WELLBORE SURVEYOR, CONT
H  2232 - 2897 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
H  2916 - 3203 8 1/2" BHI MWD : MAGNETIC, STD, MAG-CORR
H  3235 - 4226 6" BHI MWD : MAGNETIC, STD, MAG-CORR
----------------------------------------------------------------
Water Depth: 84.00m
KB-WH: 109.00m
KB-MSL: 25.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 247.19deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
3177.00   31.40     160.90    2431.94   -1274.567       45.414          436225.722      6477925.978     0.48      
3203.00   31.10     159.60    2454.17   -1270.010       32.719          436230.277      6477913.288     0.85      
3235.00   31.80     159.50    2481.47   -1264.177       17.076          436236.109      6477897.650     0.66      
3264.00   31.90     156.70    2506.10   -1258.470       2.880           436241.814      6477883.460     1.53      
3292.00   31.90     155.50    2529.88   -1252.475       -10.646         436247.806      6477869.937     0.68      
3321.00   30.10     153.30    2554.73   -1246.030       -24.117         436254.249      6477856.472     2.20      
3333.00   29.80     152.10    2565.13   -1243.282       -29.440         436256.996      6477851.150     1.67      
3352.00   29.30     151.90    2581.66   -1238.883       -37.714         436261.393      6477842.879     0.80      
3381.00   29.30     149.50    2606.95   -1231.939       -50.088         436268.335      6477830.509     1.21      
3410.00   31.10     148.30    2632.01   -1224.401       -62.576         436275.870      6477818.026     1.96      
3439.00   32.80     148.70    2656.62   -1216.384       -75.661         436283.884      6477804.946     1.77      
3466.00   34.20     149.10    2679.13   -1208.688       -88.421         436291.578      6477792.190     1.57      
3496.00   35.80     149.60    2703.71   -1199.917       -103.225        436300.345      6477777.391     1.63      
3528.00   36.50     149.90    2729.55   -1190.408       -119.531        436309.851      6477761.091     0.68      
3553.00   35.70     148.40    2749.75   -1182.857       -132.177        436317.400      6477748.449     1.43      
3582.00   34.70     146.90    2773.44   -1173.915       -146.300        436326.338      6477734.332     1.37      
3610.00   32.60     148.10    2796.75   -1165.576       -159.381        436334.675      6477721.255     2.36      
3636.00   31.90     159.00    2818.76   -1159.407       -171.752        436340.841      6477708.889     6.75      
3668.00   31.50     159.90    2845.99   -1153.504       -187.496        436346.742      6477693.150     0.58      
